Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film_subject/films	77	816.46	28.57	6.49	0.136	808.14	30.52	9.09	0.163
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	160	353.23	35.0	4.06	0.137	297.81	44.38	14.38	0.236
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	32	1134.63	3.13	1.56	0.034	1131.44	3.13	1.56	0.035
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	50	1134.19	50.0	50.0	0.501	908.81	55.0	51.0	0.532
/location/country/second_level_divisions	46	241.83	48.91	47.83	0.485	64.29	52.17	47.83	0.501
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency	3	74.83	66.67	33.33	0.442	17.17	66.67	50.0	0.531
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	60	575.14	50.0	49.17	0.496	327.5	55.0	49.17	0.513
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location	38	95.43	43.42	11.84	0.215	77.17	59.21	25.0	0.377
/organization/organization/place_founded	16	328.72	18.75	0.0	0.058	327.72	18.75	3.13	0.08
/music/performance_role/regular_performances./music/group_membership/role	40	60.6	0.0	0.0	0.023	27.18	20.0	0.0	0.08
/music/group_member/membership./music/group_membership/role	29	129.98	31.03	0.0	0.1	107.14	39.66	5.17	0.167
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	43	16.41	50.0	0.0	0.106	2.52	100.0	36.05	0.598
/influence/influence_node/peers./influence/peer_relationship/peers	2	327.0	0.0	0.0	0.01	326.25	0.0	0.0	0.01
/base/eating/practicer_of_diet/diet	11	977.27	50.0	22.73	0.366	941.27	54.55	31.82	0.417
/people/person/employment_history./business/employment_tenure/company	24	639.94	16.67	6.25	0.099	637.81	20.83	8.33	0.129
/film/film/edited_by	13	279.12	38.46	11.54	0.204	273.04	46.15	11.54	0.215
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency	4	118.5	50.0	50.0	0.502	10.13	50.0	50.0	0.53
/film/film/music	92	358.62	22.28	4.89	0.101	352.35	25.54	5.98	0.118
/tv/tv_producer/programs_produced./tv/tv_producer_term/program	4	263.5	12.5	0.0	0.033	257.75	12.5	0.0	0.039
/education/educational_institution/school_type	80	140.56	47.5	16.25	0.282	66.34	56.88	28.13	0.373
/location/country/capital	11	760.77	18.18	0.0	0.059	759.45	18.18	0.0	0.064
/government/legislative_session/members./government/government_position_held/legislative_sessions	13	19.12	7.69	0.0	0.065	4.77	100.0	3.85	0.276
/location/hud_county_place/place	48	189.86	37.5	2.08	0.109	189.86	37.5	2.08	0.109
/people/person/spouse_s./people/marriage/location_of_ceremony	35	1040.19	18.57	1.43	0.066	1037.56	18.57	1.43	0.071
/award/award_ceremony/awards_presented./award/award_honor/honored_for	121	286.05	23.14	2.89	0.097	279.5	31.82	13.64	0.208
/user/ktrueman/default_domain/international_organization/member_states	24	60.08	50.0	37.5	0.415	9.06	64.58	45.83	0.541
/film/film/runtime./film/film_cut/film_release_region	9	677.06	27.78	0.0	0.096	672.94	27.78	0.0	0.11
/sports/sport/pro_athletes./sports/pro_sports_played/athlete	17	1133.56	38.24	23.53	0.309	1114.26	61.76	38.24	0.479
/base/popstra/celebrity/dated./base/popstra/dated/participant	11	693.27	0.0	0.0	0.007	691.23	0.0	0.0	0.007
/base/biblioness/bibs_location/state	7	73.29	35.71	14.29	0.254	63.29	35.71	14.29	0.258
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency	22	92.07	50.0	50.0	0.503	22.09	86.36	61.36	0.71
/award/award_category/category_of	20	285.07	37.5	37.5	0.385	264.4	75.0	65.0	0.701
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club	29	137.03	22.41	1.72	0.092	131.86	31.03	6.9	0.144
/people/person/religion	127	724.94	42.91	18.9	0.276	641.34	46.06	21.65	0.3
/film/film/executive_produced_by	73	406.31	35.62	2.74	0.147	397.34	53.42	12.33	0.243
/business/job_title/people_with_this_title./business/employment_tenure/company	85	360.09	35.29	1.76	0.108	332.37	47.06	14.12	0.259
/location/country/official_language	16	54.25	46.88	15.63	0.259	40.5	56.25	18.75	0.305
/film/film/film_format	39	290.44	50.0	32.05	0.401	215.79	53.85	33.33	0.418
/media_common/netflix_genre/titles	124	283.67	42.34	11.69	0.209	200.86	49.6	20.56	0.302
/film/film/featured_film_locations	100	686.67	21.0	8.0	0.124	662.35	22.5	8.5	0.135
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium	158	739.84	50.0	47.15	0.483	65.75	50.95	48.42	0.501
/location/location/partially_contains	13	26.19	61.54	7.69	0.228	23.35	65.38	23.08	0.387
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s	1	33.0	50.0	0.0	0.059	13.0	50.0	0.0	0.188
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	258	56.85	12.6	0.0	0.052	11.87	68.8	24.61	0.383
/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month	60	30.4	12.5	0.0	0.057	1.04	100.0	95.83	0.979
